# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3290,12607,水系,一級水系 一級河川 指定区間,九頭竜川水系
CDAC3290,12608,水系,一級水系 一級河川 指定区間,北川水系
CDAC3290,12609,水系,一級水系 一級河川 指定区間,由良川水系
CDAC3290,12610,水系,一級水系 一級河川 指定区間,円山川水系
CDAC3290,12701,水系,一級水系 一級河川 指定区間,千代川水系
CDAC3290,12702,水系,一級水系 一級河川 指定区間,天神川水系
CDAC3290,12703,水系,一級水系 一級河川 指定区間,日野川水系
CDAC3290,12704,水系,一級水系 一級河川 指定区間,斐伊川水系
CDAC3290,12705,水系,一級水系 一級河川 指定区間,江の川水系
CDAC3290,12706,水系,一級水系 一級河川 指定区間,高津川水系
CDAC3290,12707,水系,一級水系 一級河川 指定区間,佐波川水系
CDAC3290,12708,水系,一級水系 一級河川 指定区間,小瀬川水系
CDAC3290,12709,水系,一級水系 一級河川 指定区間,太田川水系
CDAC3290,12710,水系,一級水系 一級河川 指定区間,芦田川水系
CDAC3290,12711,水系,一級水系 一級河川 指定区間,高梁川水系
CDAC3290,12712,水系,一級水系 一級河川 指定区間,旭川水系
CDAC3290,12713,水系,一級水系 一級河川 指定区間,吉井川水系
CDAC3290,12801,水系,一級水系 一級河川 指定区間,重信川水系
CDAC3290,12802,水系,一級水系 一級河川 指定区間,肱川水系
CDAC3290,12803,水系,一級水系 一級河川 指定区間,渡川水系
CDAC3290,12804,水系,一級水系 一級河川 指定区間,仁淀川水系
CDAC3290,12805,水系,一級水系 一級河川 指定区間,物部川水系
CDAC3290,12806,水系,一級水系 一級河川 指定区間,那賀川水系
CDAC3290,12807,水系,一級水系 一級河川 指定区間,吉野川水系
CDAC3290,12808,水系,一級水系 一級河川 指定区間,土器川水系
CDAC3290,12901,水系,一級水系 一級河川 指定区間,遠賀川水系
CDAC3290,12902,水系,一級水系 一級河川 指定区間,松浦川水系
CDAC3290,12903,水系,一級水系 一級河川 指定区間,本明川水系
CDAC3290,12904,水系,一級水系 一級河川 指定区間,六角川水系
CDAC3290,12905,水系,一級水系 一級河川 指定区間,嘉瀬川水系
CDAC3290,12906,水系,一級水系 一級河川 指定区間,筑後川水系
CDAC3290,12907,水系,一級水系 一級河川 指定区間,矢部川水系
CDAC3290,12908,水系,一級水系 一級河川 指定区間,菊池川水系
CDAC3290,12909,水系,一級水系 一級河川 指定区間,白川水系
CDAC3290,12910,水系,一級水系 一級河川 指定区間,緑川水系
CDAC3290,12911,水系,一級水系 一級河川 指定区間,球磨川水系
CDAC3290,12912,水系,一級水系 一級河川 指定区間,川内川水系
CDAC3290,12913,水系,一級水系 一級河川 指定区間,肝属川水系
CDAC3290,12914,水系,一級水系 一級河川 指定区間,大淀川水系
CDAC3290,12915,水系,一級水系 一級河川 指定区間,小丸川水系
CDAC3290,12916,水系,一級水系 一級河川 指定区間,五ヶ瀬川水系
CDAC3290,12917,水系,一級水系 一級河川 指定区間,番匠川水系
CDAC3290,12918,水系,一級水系 一級河川 指定区間,大野川水系
CDAC3290,12919,水系,一級水系 一級河川 指定区間,大分川水系
CDAC3290,12920,水系,一級水系 一級河川 指定区間,山国川水系
CDAC3290,13101,水系,一級水系 準用河川,天塩川水系
CDAC3290,13102,水系,一級水系 準用河川,留萌川水系
CDAC3290,13103,水系,一級水系 準用河川,石狩川水系
CDAC3290,13104,水系,一級水系 準用河川,尻別川水系
